Data,Cliques,Impressões,CTR,Posição
2026-01-14,0,0,,
2026-01-15,0,26,0%,5
2026-01-16,2,34,5.88%,6.5
2026-01-17,2,22,9.09%,6
2026-01-18,0,9,0%,10.6
2026-01-19,0,16,0%,4.7
2026-01-20,1,36,2.78%,4.7
2026-01-21,0,12,0%,5.3
2026-01-22,2,19,10.53%,4.5
2026-01-23,3,34,8.82%,9.1
2026-01-24,0,9,0%,8.3
2026-01-25,0,5,0%,7.4
2026-01-26,0,27,0%,9.3
2026-01-27,0,13,0%,6.2
2026-01-28,0,36,0%,7.6
2026-01-29,1,19,5.26%,14.7
2026-01-30,3,36,8.33%,6.7
2026-01-31,0,18,0%,12.3
2026-02-01,1,14,7.14%,7.6
2026-02-02,0,35,0%,7.4
2026-02-03,0,25,0%,6.2
2026-02-04,1,47,2.13%,6.8
2026-02-05,0,29,0%,8.8
2026-02-06,0,37,0%,10.1
2026-02-07,1,32,3.12%,5.2
2026-02-08,0,15,0%,7.5
2026-02-09,0,21,0%,5.9
2026-02-10,0,21,0%,7
2026-02-11,2,32,6.25%,8.8
2026-02-12,0,42,0%,5.6
2026-02-13,0,28,0%,6.3
2026-02-14,0,13,0%,6.1
2026-02-15,0,12,0%,7.7
2026-02-16,0,41,0%,7.8
2026-02-17,0,14,0%,10
2026-02-18,1,45,2.22%,7.9
2026-02-19,0,45,0%,7.8
2026-02-20,1,35,2.86%,8.1
2026-02-21,0,28,0%,6.4
2026-02-22,0,14,0%,11
2026-02-23,0,18,0%,6.8
2026-02-24,0,23,0%,13.2
2026-02-25,0,38,0%,6.4
2026-02-26,2,43,4.65%,8.6
2026-02-27,0,26,0%,6.5
2026-02-28,1,26,3.85%,9.6
2026-03-01,0,17,0%,5.5
2026-03-02,2,29,6.9%,15.5
2026-03-03,0,28,0%,7
2026-03-04,0,29,0%,8.8
2026-03-05,1,32,3.12%,6.4
2026-03-06,0,31,0%,13.2
2026-03-07,0,15,0%,3.7
2026-03-08,0,12,0%,11.9
2026-03-09,0,24,0%,13
2026-03-10,0,28,0%,14
2026-03-11,0,24,0%,8.9
2026-03-12,0,45,0%,7.2
2026-03-13,0,31,0%,7.1
2026-03-14,0,51,0%,6.3
2026-03-15,0,13,0%,7.2
2026-03-16,0,32,0%,9.1
2026-03-17,0,42,0%,8.4
2026-03-18,0,27,0%,8.4
2026-03-19,2,27,7.41%,5.6
