País,Cliques,Impressões,CTR,Posição
Brasil,200,10145,1.97%,6.42
Estados Unidos,1,754,0.13%,6.1
Kuwait,1,1,100%,1
Bélgica,1,1,100%,4
Reino Unido,0,20,0%,5.5
Irlanda,0,8,0%,5.62
França,0,6,0%,3.33
Portugal,0,4,0%,3.75
Vietnã,0,4,0%,4.5
Espanha,0,4,0%,5.5
Canadá,0,4,0%,8.75
Índia,0,4,0%,32.75
Itália,0,3,0%,2.33
Rússia,0,3,0%,7
Filipinas,0,3,0%,10.67
Iraque,0,2,0%,5
Alemanha,0,2,0%,7.5
Armênia,0,2,0%,8
Austrália,0,2,0%,9.5
México,0,2,0%,11
Bulgária,0,1,0%,1
China,0,1,0%,1
Países Baixos,0,1,0%,2
Peru,0,1,0%,2
Polônia,0,1,0%,2
Argentina,0,1,0%,3
Albânia,0,1,0%,4
Congo-Brazzaville,0,1,0%,4
Sérvia,0,1,0%,5
Angola,0,1,0%,6
Argélia,0,1,0%,6
Etiópia,0,1,0%,6
Arábia Saudita,0,1,0%,6
Singapura,0,1,0%,6
Tailândia,0,1,0%,6
Uruguai,0,1,0%,6
Colômbia,0,1,0%,7
Equador,0,1,0%,8
Moldávia,0,1,0%,8
Panamá,0,1,0%,8
Síria,0,1,0%,8
Turquia,0,1,0%,8
Japão,0,1,0%,9
Coréia do Sul,0,1,0%,9
Venezuela,0,1,0%,9
África do Sul,0,1,0%,11
Omã,0,1,0%,15
Chile,0,1,0%,18
Malásia,0,1,0%,67
